time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T14:05:30.582	WT901BLE68(F3:F0:16:BF:DC:AE)	0.901	0.075	0.441	-0.854	1.526	2.563	7.57	-63.36	-51.04	-3.433	13.760	27.780	-0.77414	0.19440	0.49045	0.34964	25.9	null	null	13113	75
2026-05-27T14:05:30.697	WT901BLE68(F3:F0:16:BF:DC:AE)	0.932	0.026	0.437	-0.916	2.136	1.404	6.92	-63.21	-50.47	-3.433	13.760	27.780	-0.77414	0.19440	0.49045	0.34964	25.9	null	null	13113	75
2026-05-27T14:05:30.758	WT901BLE68(F3:F0:16:BF:DC:AE)	0.896	0.007	0.338	27.649	2.869	-2.075	8.67	-62.86	-50.45	-3.433	13.760	27.780	-0.77414	0.19440	0.49045	0.34964	25.9	null	null	13113	75
2026-05-27T14:05:30.878	WT901BLE68(F3:F0:16:BF:DC:AE)	0.847	0.117	0.528	20.630	-3.662	4.211	10.26	-63.16	-49.61	-3.433	13.760	27.780	-0.77414	0.19440	0.49045	0.34964	25.9	null	null	13113	75
2026-05-27T14:05:30.964	WT901BLE68(F3:F0:16:BF:DC:AE)	0.854	0.159	0.524	-7.813	-5.310	3.967	10.18	-63.48	-48.57	-2.960	26.787	20.453	-0.77414	0.19440	0.49045	0.34964	25.9	null	null	13113	75
2026-05-27T14:05:31.085	WT901BLE68(F3:F0:16:BF:DC:AE)	0.912	-0.015	0.404	-26.550	-6.958	0.122	8.11	-63.79	-48.39	-2.960	26.787	20.453	-0.77414	0.19440	0.49045	0.34964	25.9	null	null	13113	75
2026-05-27T14:05:31.175	WT901BLE68(F3:F0:16:BF:DC:AE)	0.922	0.071	0.508	-0.610	-8.728	-0.122	7.97	-64.37	-48.54	-2.960	26.787	20.453	-0.78564	0.16479	0.50687	0.31403	25.9	null	null	13113	75
2026-05-27T14:05:31.299	WT901BLE68(F3:F0:16:BF:DC:AE)	0.818	0.066	0.621	2.075	3.540	-5.737	9.50	-64.18	-49.66	-2.960	26.787	20.453	-0.78564	0.16479	0.50687	0.31403	25.9	null	null	13113	75
2026-05-27T14:05:31.387	WT901BLE68(F3:F0:16:BF:DC:AE)	0.871	0.092	0.617	4.822	13.977	-4.456	10.43	-62.58	-49.76	-2.960	26.787	20.453	-0.78564	0.16479	0.50687	0.31403	25.9	null	null	13113	75
2026-05-27T14:05:31.509	WT901BLE68(F3:F0:16:BF:DC:AE)	0.867	-0.006	0.497	4.578	15.320	-2.808	10.55	-60.72	-49.17	-2.960	26.787	20.453	-0.78564	0.16479	0.50687	0.31403	25.9	null	null	13113	75
2026-05-27T14:05:31.568	WT901BLE68(F3:F0:16:BF:DC:AE)	0.870	0.098	0.456	-13.611	5.371	-7.935	10.47	-59.57	-49.10	-2.960	26.787	20.453	-0.78564	0.16479	0.50687	0.31403	25.9	null	null	13113	75
2026-05-27T14:05:31.685	WT901BLE68(F3:F0:16:BF:DC:AE)	0.884	0.095	0.535	-5.676	8.545	-13.184	11.04	-58.93	-51.08	-2.960	26.787	20.453	-0.78564	0.16479	0.50687	0.31403	25.9	null	null	13113	75
2026-05-27T14:05:31.777	WT901BLE68(F3:F0:16:BF:DC:AE)	0.811	0.040	0.462	-2.869	8.972	-11.047	12.48	-57.94	-53.15	-2.960	26.787	20.453	-0.78564	0.16479	0.50687	0.31403	25.9	null	null	13113	75
2026-05-27T14:05:31.896	WT901BLE68(F3:F0:16:BF:DC:AE)	0.880	0.183	0.532	1.038	8.728	-9.583	13.24	-56.87	-54.82	-8.673	24.080	19.707	-0.78564	0.16479	0.50687	0.31403	25.9	null	null	13113	75
2026-05-27T14:05:31.987	WT901BLE68(F3:F0:16:BF:DC:AE)	0.872	0.160	0.563	-7.507	-3.174	-11.230	14.78	-56.33	-56.37	-8.673	24.080	19.707	-0.78564	0.16479	0.50687	0.31403	25.9	null	null	13113	75
2026-05-27T14:05:32.105	WT901BLE68(F3:F0:16:BF:DC:AE)	0.829	0.172	0.608	-4.395	-8.911	-16.052	16.38	-56.53	-58.88	-8.673	24.080	19.707	-0.79730	0.12152	0.46655	0.36301	25.9	null	null	13113	75
2026-05-27T14:05:32.169	WT901BLE68(F3:F0:16:BF:DC:AE)	0.863	0.130	0.481	-4.456	-5.005	-10.010	18.49	-56.83	-61.48	-8.673	24.080	19.707	-0.79730	0.12152	0.46655	0.36301	25.9	null	null	13113	75
2026-05-27T14:05:32.284	WT901BLE68(F3:F0:16:BF:DC:AE)	0.875	0.212	0.555	-3.052	2.808	-3.906	19.21	-56.79	-62.57	-8.673	24.080	19.707	-0.79730	0.12152	0.46655	0.36301	25.9	null	null	13113	75
2026-05-27T14:05:32.377	WT901BLE68(F3:F0:16:BF:DC:AE)	0.897	0.135	0.420	-2.197	-9.277	0.854	19.60	-57.08	-63.12	-8.673	24.080	19.707	-0.79730	0.12152	0.46655	0.36301	25.9	null	null	13113	75
2026-05-27T14:05:32.498	WT901BLE68(F3:F0:16:BF:DC:AE)	0.878	0.226	0.474	0.793	-6.775	8.118	19.54	-58.13	-62.93	-8.673	24.080	19.707	-0.79730	0.12152	0.46655	0.36301	25.9	null	null	13113	75
2026-05-27T14:05:32.584	WT901BLE68(F3:F0:16:BF:DC:AE)	0.794	0.191	0.524	2.075	1.526	1.465	19.20	-58.49	-62.14	-8.673	24.080	19.707	-0.79730	0.12152	0.46655	0.36301	25.9	null	null	13113	75
2026-05-27T14:05:32.707	WT901BLE68(F3:F0:16:BF:DC:AE)	0.827	0.180	0.584	-0.061	4.333	7.690	18.41	-58.19	-60.87	-8.673	24.080	19.707	-0.79730	0.12152	0.46655	0.36301	25.9	null	null	13113	75
2026-05-27T14:05:32.796	WT901BLE68(F3:F0:16:BF:DC:AE)	0.863	0.145	0.543	-3.601	0.854	5.798	16.88	-57.84	-59.40	-11.067	21.967	16.013	-0.79730	0.12152	0.46655	0.36301	25.9	null	null	13113	75
2026-05-27T14:05:32.919	WT901BLE68(F3:F0:16:BF:DC:AE)	0.827	0.239	0.511	-0.122	1.770	13.062	15.33	-57.80	-57.25	-11.067	21.967	16.013	-0.79730	0.12152	0.46655	0.36301	25.9	null	null	13113	75
2026-05-27T14:05:32.976	WT901BLE68(F3:F0:16:BF:DC:AE)	0.838	0.050	0.519	6.775	-3.723	12.695	14.27	-57.96	-55.10	-11.067	21.967	16.013	-0.79550	0.12683	0.47549	0.35339	25.9	null	null	13113	75
2026-05-27T14:05:33.095	WT901BLE68(F3:F0:16:BF:DC:AE)	0.884	0.111	0.578	14.526	-6.409	16.235	13.10	-58.74	-52.69	-11.067	21.967	16.013	-0.79550	0.12683	0.47549	0.35339	25.9	null	null	13113	75
2026-05-27T14:05:33.187	WT901BLE68(F3:F0:16:BF:DC:AE)	0.864	0.108	0.372	13.550	-2.686	19.592	12.11	-59.51	-49.27	-11.067	21.967	16.013	-0.79550	0.12683	0.47549	0.35339	25.9	null	null	13113	75
2026-05-27T14:05:33.305	WT901BLE68(F3:F0:16:BF:DC:AE)	0.908	0.123	0.411	8.972	-3.235	16.113	10.59	-60.24	-46.14	-11.067	21.967	16.013	-0.79550	0.12683	0.47549	0.35339	25.9	null	null	13113	75
2026-05-27T14:05:33.395	WT901BLE68(F3:F0:16:BF:DC:AE)	0.894	0.070	0.496	4.883	-3.967	15.015	9.27	-60.91	-42.90	-11.067	21.967	16.013	-0.79550	0.12683	0.47549	0.35339	25.9	null	null	13113	75
2026-05-27T14:05:33.518	WT901BLE68(F3:F0:16:BF:DC:AE)	0.847	0.003	0.441	4.028	-4.089	8.911	7.75	-61.63	-40.03	-11.067	21.967	16.013	-0.79550	0.12683	0.47549	0.35339	25.9	null	null	13113	75
2026-05-27T14:05:33.575	WT901BLE68(F3:F0:16:BF:DC:AE)	0.850	0.054	0.474	-4.028	0.122	-1.343	7.24	-61.91	-38.49	-3.540	20.120	7.633	-0.79550	0.12683	0.47549	0.35339	25.9	null	null	13113	75
2026-05-27T14:05:33.699	WT901BLE68(F3:F0:16:BF:DC:AE)	0.878	0.074	0.473	-0.977	6.836	-5.066	7.42	-61.33	-38.34	-3.540	20.120	7.633	-0.79550	0.12683	0.47549	0.35339	25.9	null	null	13113	75
2026-05-27T14:05:33.788	WT901BLE68(F3:F0:16:BF:DC:AE)	0.861	0.096	0.548	-2.136	11.658	-7.935	8.14	-60.45	-38.49	-3.540	20.120	7.633	-0.79550	0.12683	0.47549	0.35339	25.9	null	null	13113	75
2026-05-27T14:05:33.907	WT901BLE68(F3:F0:16:BF:DC:AE)	0.837	0.094	0.514	5.310	11.719	-8.179	8.93	-59.15	-38.95	-3.540	20.120	7.633	-0.82648	0.10602	0.49261	0.25082	25.9	null	null	13113	75
2026-05-27T14:05:33.996	WT901BLE68(F3:F0:16:BF:DC:AE)	0.854	0.095	0.526	-2.014	0.366	-13.428	10.34	-58.35	-40.30	-3.540	20.120	7.633	-0.82648	0.10602	0.49261	0.25082	25.9	null	null	13113	75
2026-05-27T14:05:34.116	WT901BLE68(F3:F0:16:BF:DC:AE)	0.862	0.138	0.451	9.277	-3.906	-12.085	12.85	-58.43	-42.53	-3.540	20.120	7.633	-0.82648	0.10602	0.49261	0.25082	25.9	null	null	13113	75
2026-05-27T14:05:34.210	WT901BLE68(F3:F0:16:BF:DC:AE)	0.842	0.154	0.500	2.563	-3.113	-17.700	15.92	-58.78	-44.96	-3.540	20.120	7.633	-0.82648	0.10602	0.49261	0.25082	25.9	null	null	13113	75
2026-05-27T14:05:34.357	WT901BLE68(F3:F0:16:BF:DC:AE)	0.888	0.135	0.557	-3.479	-2.380	-12.939	18.33	-58.68	-47.37	-3.540	20.120	7.633	-0.82648	0.10602	0.49261	0.25082	25.9	null	null	13113	75
2026-05-27T14:05:34.386	WT901BLE68(F3:F0:16:BF:DC:AE)	0.887	0.170	0.445	-2.625	-2.380	-5.005	19.45	-58.61	-48.23	-3.540	20.120	7.633	-0.82648	0.10602	0.49261	0.25082	25.9	null	null	13113	75
2026-05-27T14:05:34.542	WT901BLE68(F3:F0:16:BF:DC:AE)	0.838	0.206	0.458	0.244	-0.427	-2.380	20.09	-58.63	-48.39	-3.540	20.120	7.633	-0.82648	0.10602	0.49261	0.25082	25.9	null	null	13113	75
2026-05-27T14:05:34.594	WT901BLE68(F3:F0:16:BF:DC:AE)	0.842	0.188	0.568	-4.700	0.488	-2.686	19.96	-58.83	-48.00	-9.427	23.067	3.380	-0.82648	0.10602	0.49261	0.25082	25.9	null	null	13113	75
2026-05-27T14:05:34.719	WT901BLE68(F3:F0:16:BF:DC:AE)	0.882	0.157	0.523	3.845	3.418	3.479	19.73	-58.85	-46.80	-9.427	23.067	3.380	-0.82648	0.10602	0.49261	0.25082	25.9	null	null	13113	75
2026-05-27T14:05:34.807	WT901BLE68(F3:F0:16:BF:DC:AE)	0.852	0.188	0.504	3.418	-1.404	7.874	19.09	-59.11	-44.95	-9.427	23.067	3.380	-0.82227	0.05484	0.50333	0.25967	25.9	null	null	13113	75
2026-05-27T14:05:34.928	WT901BLE68(F3:F0:16:BF:DC:AE)	0.892	0.143	0.512	-5.127	1.404	12.390	17.76	-59.20	-42.68	-9.427	23.067	3.380	-0.82227	0.05484	0.50333	0.25967	25.9	null	null	13113	75
2026-05-27T14:05:34.988	WT901BLE68(F3:F0:16:BF:DC:AE)	0.858	0.168	0.539	1.648	4.028	16.357	15.23	-59.18	-38.86	-9.427	23.067	3.380	-0.82227	0.05484	0.50333	0.25967	25.9	null	null	13113	75
2026-05-27T14:05:35.110	WT901BLE68(F3:F0:16:BF:DC:AE)	0.894	0.091	0.509	3.967	-10.315	16.663	13.45	-59.96	-35.52	-9.427	23.067	3.380	-0.82227	0.05484	0.50333	0.25967	25.9	null	null	13113	75
2026-05-27T14:05:35.198	WT901BLE68(F3:F0:16:BF:DC:AE)	0.872	0.082	0.334	0.916	-9.033	13.306	11.23	-61.55	-32.55	-9.427	23.067	3.380	-0.82227	0.05484	0.50333	0.25967	25.9	null	null	13113	75
2026-05-27T14:05:35.317	WT901BLE68(F3:F0:16:BF:DC:AE)	0.918	0.118	0.488	9.521	-2.808	9.399	10.28	-62.48	-29.48	-9.427	23.067	3.380	-0.82227	0.05484	0.50333	0.25967	25.9	null	null	13113	75
2026-05-27T14:05:35.408	WT901BLE68(F3:F0:16:BF:DC:AE)	0.917	0.057	0.410	-5.859	-11.230	8.911	9.02	-63.40	-26.87	-9.427	23.067	3.380	-0.82227	0.05484	0.50333	0.25967	25.9	null	null	13113	75
2026-05-27T14:05:35.526	WT901BLE68(F3:F0:16:BF:DC:AE)	0.907	0.034	0.433	2.563	-8.850	3.845	7.89	-64.59	-24.97	-2.867	19.740	-0.520	-0.82227	0.05484	0.50333	0.25967	25.9	null	null	13113	75
2026-05-27T14:05:35.617	WT901BLE68(F3:F0:16:BF:DC:AE)	0.931	0.040	0.466	6.409	-2.441	2.747	7.82	-65.25	-23.31	-2.867	19.740	-0.520	-0.82227	0.05484	0.50333	0.25967	25.9	null	null	13113	75
2026-05-27T14:05:35.736	WT901BLE68(F3:F0:16:BF:DC:AE)	0.901	0.073	0.445	4.883	1.770	3.296	7.62	-65.25	-21.38	-2.867	19.740	-0.520	-0.83087	0.04929	0.53909	0.12845	25.9	null	null	13113	75
2026-05-27T14:05:35.795	WT901BLE68(F3:F0:16:BF:DC:AE)	0.893	0.045	0.470	-1.587	2.075	-0.183	7.45	-64.93	-19.81	-2.867	19.740	-0.520	-0.83087	0.04929	0.53909	0.12845	25.9	null	null	13113	75
2026-05-27T14:05:35.918	WT901BLE68(F3:F0:16:BF:DC:AE)	0.857	0.033	0.434	-1.892	3.662	-1.709	6.94	-64.48	-18.72	-2.867	19.740	-0.520	-0.83087	0.04929	0.53909	0.12845	25.9	null	null	13113	75
2026-05-27T14:05:36.008	WT901BLE68(F3:F0:16:BF:DC:AE)	0.894	0.039	0.434	0.793	5.676	-4.578	7.14	-63.93	-17.96	-2.867	19.740	-0.520	-0.83087	0.04929	0.53909	0.12845	25.9	null	null	13113	75
2026-05-27T14:05:36.127	WT901BLE68(F3:F0:16:BF:DC:AE)	0.877	0.045	0.480	11.841	12.024	-3.967	8.21	-62.95	-17.47	-2.867	19.740	-0.520	-0.83087	0.04929	0.53909	0.12845	25.9	null	null	13113	75
2026-05-27T14:05:36.218	WT901BLE68(F3:F0:16:BF:DC:AE)	0.837	0.027	0.470	8.728	12.695	-8.911	9.73	-61.57	-17.72	-2.867	19.740	-0.520	-0.83087	0.04929	0.53909	0.12845	25.9	null	null	13113	75
2026-05-27T14:05:36.337	WT901BLE68(F3:F0:16:BF:DC:AE)	0.840	0.034	0.514	4.700	16.052	-11.658	11.51	-59.78	-18.44	-2.867	19.740	-0.520	-0.83087	0.04929	0.53909	0.12845	25.9	null	null	13113	75
2026-05-27T14:05:36.395	WT901BLE68(F3:F0:16:BF:DC:AE)	0.816	0.121	0.479	5.371	13.306	-8.911	12.89	-57.82	-19.06	-4.480	21.473	-3.620	-0.83087	0.04929	0.53909	0.12845	25.9	null	null	13113	75
2026-05-27T14:05:36.516	WT901BLE68(F3:F0:16:BF:DC:AE)	0.868	0.232	0.505	1.160	2.197	-10.010	14.26	-56.76	-20.08	-4.480	21.473	-3.620	-0.83087	0.04929	0.53909	0.12845	25.9	null	null	13113	75
2026-05-27T14:05:36.606	WT901BLE68(F3:F0:16:BF:DC:AE)	0.814	0.177	0.490	-1.648	-6.165	-11.841	15.94	-56.73	-21.89	-4.480	21.473	-3.620	-0.86975	-0.02756	0.48322	0.09586	25.9	null	null	13113	75
2026-05-27T14:05:36.729	WT901BLE68(F3:F0:16:BF:DC:AE)	0.887	0.163	0.543	-12.207	-15.442	-14.954	17.69	-57.38	-24.82	-4.480	21.473	-3.620	-0.86975	-0.02756	0.48322	0.09586	25.9	null	null	13113	75
2026-05-27T14:05:36.819	WT901BLE68(F3:F0:16:BF:DC:AE)	0.837	0.195	0.484	-13.367	-7.935	-14.465	19.23	-57.88	-27.24	-4.480	21.473	-3.620	-0.86975	-0.02756	0.48322	0.09586	25.9	null	null	13113	75
2026-05-27T14:05:36.938	WT901BLE68(F3:F0:16:BF:DC:AE)	0.879	0.204	0.569	-9.827	0.183	-10.193	20.00	-57.74	-28.81	-4.480	21.473	-3.620	-0.86975	-0.02756	0.48322	0.09586	25.9	null	null	13113	75
2026-05-27T14:05:37.028	WT901BLE68(F3:F0:16:BF:DC:AE)	0.867	0.153	0.477	-2.502	-4.578	-0.366	20.20	-57.83	-29.15	-4.480	21.473	-3.620	-0.86975	-0.02756	0.48322	0.09586	25.9	null	null	13113	75
2026-05-27T14:05:37.150	WT901BLE68(F3:F0:16:BF:DC:AE)	0.774	0.159	0.402	-3.540	-5.005	2.808	20.01	-58.45	-28.10	-4.480	21.473	-3.620	-0.86975	-0.02756	0.48322	0.09586	25.9	null	null	13113	75
2026-05-27T14:05:37.205	WT901BLE68(F3:F0:16:BF:DC:AE)	0.875	0.132	0.538	5.310	4.395	4.272	19.28	-58.69	-26.90	-5.453	22.613	-4.767	-0.86975	-0.02756	0.48322	0.09586	25.9	null	null	13113	75
2026-05-27T14:05:37.329	WT901BLE68(F3:F0:16:BF:DC:AE)	0.837	0.139	0.483	-1.648	2.014	7.141	18.19	-58.78	-24.89	-5.453	22.613	-4.767	-0.86975	-0.02756	0.48322	0.09586	25.9	null	null	13113	75
2026-05-27T14:05:37.415	WT901BLE68(F3:F0:16:BF:DC:AE)	0.840	0.164	0.498	-0.610	7.690	4.028	16.95	-58.41	-22.85	-5.453	22.613	-4.767	-0.86975	-0.02756	0.48322	0.09586	25.9	null	null	13113	75
2026-05-27T14:05:37.534	WT901BLE68(F3:F0:16:BF:DC:AE)	0.849	0.144	0.551	3.296	8.789	10.498	15.87	-57.69	-20.40	-5.453	22.613	-4.767	-0.86166	-0.03149	0.49689	0.09790	25.9	null	null	13113	75
2026-05-27T14:05:37.628	WT901BLE68(F3:F0:16:BF:DC:AE)	0.921	0.099	0.552	-19.470	-14.771	14.832	13.07	-58.22	-17.51	-5.453	22.613	-4.767	-0.86166	-0.03149	0.49689	0.09790	25.9	null	null	13113	75
2026-05-27T14:05:37.749	WT901BLE68(F3:F0:16:BF:DC:AE)	0.819	0.125	0.443	-25.085	-24.231	10.559	9.75	-60.49	-15.36	-5.453	22.613	-4.767	-0.86166	-0.03149	0.49689	0.09790	25.9	null	null	13113	75
2026-05-27T14:05:37.806	WT901BLE68(F3:F0:16:BF:DC:AE)	0.927	0.032	0.333	19.165	-1.587	6.958	6.99	-62.24	-12.89	-5.453	22.613	-4.767	-0.86166	-0.03149	0.49689	0.09790	25.9	null	null	13113	75
2026-05-27T14:05:37.960	WT901BLE68(F3:F0:16:BF:DC:AE)	0.927	0.037	0.560	12.268	-5.676	9.888	8.59	-62.53	-10.24	-5.453	22.613	-4.767	-0.86166	-0.03149	0.49689	0.09790	25.9	null	null	13113	75
2026-05-27T14:05:38.045	WT901BLE68(F3:F0:16:BF:DC:AE)	0.861	0.027	0.383	-11.780	-5.798	-0.061	7.21	-63.29	-7.85	-5.453	22.613	-4.767	-0.86166	-0.03149	0.49689	0.09790	25.9	null	null	13113	75
2026-05-27T14:05:38.137	WT901BLE68(F3:F0:16:BF:DC:AE)	0.875	0.022	0.477	3.845	2.380	-4.089	7.32	-63.55	-6.82	1.287	18.160	-7.460	-0.86166	-0.03149	0.49689	0.09790	25.9	null	null	13113	75
2026-05-27T14:05:38.227	WT901BLE68(F3:F0:16:BF:DC:AE)	0.874	0.034	0.500	4.517	14.160	-11.292	8.12	-62.83	-6.49	1.287	18.160	-7.460	-0.86166	-0.03149	0.49689	0.09790	25.9	null	null	13113	75
2026-05-27T14:05:38.350	WT901BLE68(F3:F0:16:BF:DC:AE)	0.872	0.104	0.492	4.639	16.968	-15.442	10.47	-61.17	-7.31	1.287	18.160	-7.460	-0.86166	-0.03149	0.49689	0.09790	25.9	null	null	13113	75
2026-05-27T14:05:38.405	WT901BLE68(F3:F0:16:BF:DC:AE)	0.819	0.158	0.482	4.761	15.808	-20.752	13.38	-59.01	-9.23	1.287	18.160	-7.460	-0.86206	-0.05310	0.50378	0.01044	25.9	null	null	13113	75
2026-05-27T14:05:38.558	WT901BLE68(F3:F0:16:BF:DC:AE)	0.871	0.225	0.473	0.427	2.441	-23.499	16.33	-57.58	-11.89	1.287	18.160	-7.460	-0.86206	-0.05310	0.50378	0.01044	25.9	null	null	13113	75
2026-05-27T14:05:38.618	WT901BLE68(F3:F0:16:BF:DC:AE)	0.852	0.151	0.333	-12.024	-6.958	-18.127	18.71	-57.56	-15.02	1.287	18.160	-7.460	-0.86206	-0.05310	0.50378	0.01044	25.9	null	null	13113	75
2026-05-27T14:05:38.738	WT901BLE68(F3:F0:16:BF:DC:AE)	0.859	0.191	0.493	-1.526	6.104	-14.160	20.54	-56.88	-17.47	1.287	18.160	-7.460	-0.86206	-0.05310	0.50378	0.01044	25.9	null	null	13113	75
2026-05-27T14:05:38.829	WT901BLE68(F3:F0:16:BF:DC:AE)	0.911	0.199	0.492	-0.305	-7.568	0.854	21.45	-56.81	-17.88	1.287	18.160	-7.460	-0.86206	-0.05310	0.50378	0.01044	25.9	null	null	13113	75
2026-05-27T14:05:38.951	WT901BLE68(F3:F0:16:BF:DC:AE)	0.762	0.162	0.365	0.671	-7.263	-2.197	22.25	-57.71	-18.31	1.287	18.160	-7.460	-0.86206	-0.05310	0.50378	0.01044	25.9	null	null	13113	75
2026-05-27T14:05:39.035	WT901BLE68(F3:F0:16:BF:DC:AE)	0.829	0.268	0.557	11.230	7.507	1.343	23.05	-57.82	-18.04	1.287	18.160	-7.460	-0.86206	-0.05310	0.50378	0.01044	25.9	null	null	13113	75
2026-05-27T14:05:39.159	WT901BLE68(F3:F0:16:BF:DC:AE)	0.804	0.234	0.619	-1.526	5.127	5.432	22.75	-57.23	-16.36	-3.833	22.607	-7.413	-0.86206	-0.05310	0.50378	0.01044	25.9	null	null	13113	75
2026-05-27T14:05:39.219	WT901BLE68(F3:F0:16:BF:DC:AE)	0.786	0.231	0.417	-2.441	5.371	5.249	21.29	-56.73	-14.54	-3.833	22.607	-7.413	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:39.338	WT901BLE68(F3:F0:16:BF:DC:AE)	0.854	0.222	0.625	-0.793	9.399	9.338	20.20	-55.95	-12.65	-3.833	22.607	-7.413	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:39.427	WT901BLE68(F3:F0:16:BF:DC:AE)	0.843	0.141	0.507	-8.240	-9.827	9.705	18.89	-56.23	-10.85	-3.833	22.607	-7.413	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:39.551	WT901BLE68(F3:F0:16:BF:DC:AE)	0.820	0.213	0.462	-1.770	-10.315	10.925	17.66	-57.47	-9.35	-3.833	22.607	-7.413	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:39.637	WT901BLE68(F3:F0:16:BF:DC:AE)	0.902	0.081	0.533	17.151	1.648	8.240	17.47	-58.22	-7.61	-3.833	22.607	-7.413	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:39.757	WT901BLE68(F3:F0:16:BF:DC:AE)	0.875	0.109	0.491	6.287	-5.737	10.803	17.34	-58.73	-5.25	-3.833	22.607	-7.413	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:39.850	WT901BLE68(F3:F0:16:BF:DC:AE)	0.814	0.103	0.521	-15.747	-9.155	11.597	15.49	-59.85	-2.71	-3.833	22.607	-7.413	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:39.968	WT901BLE68(F3:F0:16:BF:DC:AE)	0.875	0.048	0.424	-20.569	-3.357	2.563	12.49	-60.58	-0.36	-3.833	22.607	-7.413	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:40.025	WT901BLE68(F3:F0:16:BF:DC:AE)	0.825	0.067	0.598	0.305	6.836	-1.648	11.36	-60.34	0.99	1.527	17.973	-9.253	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:40.180	WT901BLE68(F3:F0:16:BF:DC:AE)	0.865	-0.040	0.577	-18.982	13.184	-9.705	10.52	-59.35	0.73	1.527	17.973	-9.253	-0.86835	-0.10245	0.48459	0.02338	25.9	null	null	13113	75
2026-05-27T14:05:40.235	WT901BLE68(F3:F0:16:BF:DC:AE)	0.832	0.130	0.524	-10.742	17.944	-15.869	10.72	-57.41	-0.57	1.527	17.973	-9.253	-0.86755	-0.08167	0.48810	-0.04831	25.9	null	null	13113	75
2026-05-27T14:05:40.359	WT901BLE68(F3:F0:16:BF:DC:AE)	0.868	0.236	0.592	-14.648	-1.221	-5.249	10.90	-56.29	-2.28	1.527	17.973	-9.253	-0.86755	-0.08167	0.48810	-0.04831	25.9	null	null	13113	75
2026-05-27T14:05:40.450	WT901BLE68(F3:F0:16:BF:DC:AE)	0.832	0.202	0.395	-25.696	-6.104	-9.033	9.81	-57.23	-3.59	1.527	17.973	-9.253	-0.86755	-0.08167	0.48810	-0.04831	25.9	null	null	13113	75
2026-05-27T14:05:40.566	WT901BLE68(F3:F0:16:BF:DC:AE)	0.872	0.068	0.524	-13.977	4.639	-7.629	10.04	-57.10	-5.48	1.527	17.973	-9.253	-0.86755	-0.08167	0.48810	-0.04831	25.9	null	null	13113	75
2026-05-27T14:05:40.654	WT901BLE68(F3:F0:16:BF:DC:AE)	0.811	0.195	0.523	-26.123	-1.831	-3.662	8.53	-56.93	-6.38	1.527	17.973	-9.253	-0.86755	-0.08167	0.48810	-0.04831	25.9	null	null	13113	75
2026-05-27T14:05:40.750	WT901BLE68(F3:F0:16:BF:DC:AE)	0.823	0.064	0.551	-35.889	1.038	-7.202	6.49	-57.13	-7.39	1.527	17.973	-9.253	-0.86755	-0.08167	0.48810	-0.04831	25.9	null	null	13113	75
2026-05-27T14:05:40.838	WT901BLE68(F3:F0:16:BF:DC:AE)	0.799	0.127	0.573	-25.513	3.723	-3.723	4.83	-56.67	-8.42	1.527	17.973	-9.253	-0.86755	-0.08167	0.48810	-0.04831	25.9	null	null	13113	75
2026-05-27T14:05:40.955	WT901BLE68(F3:F0:16:BF:DC:AE)	0.760	0.112	0.571	-29.236	2.991	-5.005	2.78	-56.21	-9.31	-0.860	13.120	0.480	-0.86755	-0.08167	0.48810	-0.04831	25.9	null	null	13113	75
2026-05-27T14:05:41.050	WT901BLE68(F3:F0:16:BF:DC:AE)	0.812	-0.008	0.565	-23.987	2.563	-1.343	0.59	-55.82	-10.68	-0.860	13.120	0.480	-0.86755	-0.08167	0.48810	-0.04831	25.9	null	null	13113	75
2026-05-27T14:05:41.165	WT901BLE68(F3:F0:16:BF:DC:AE)	0.913	0.086	0.607	-13.245	-1.831	-2.869	-0.97	-55.74	-11.56	-0.860	13.120	0.480	-0.87991	0.04388	0.46555	0.08356	25.9	null	null	13113	75
2026-05-27T14:05:41.292	WT901BLE68(F3:F0:16:BF:DC:AE)	0.856	0.019	0.519	-0.793	-20.142	-10.315	0.33	-57.02	-13.84	-0.860	13.120	0.480	-0.87991	0.04388	0.46555	0.08356	25.9	null	null	13113	75
